review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
81,14,28,2,Muy bueno,No cumplió mis expectativas.,false,45,2025-07-27
82,11,23,5,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,22,2027-05-08
83,3,23,-3,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",,39,
84,3,31,4,Buena calidad,No cumplió mis expectativas.,true,3,2023-02-08
85,,18,4,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,,2025-05-25
86,5,10,3,Podría mejorar,,true,10,2024-10-10
87,,3,,No tan bueno,Excelente relación calidad-precio.,true,11,
88,17,,2,  Muy bueno  ,,,33,2026-01-18
89,16,21,5,Muy bueno,Llegó a tiempo y en perfecto estado.,true,37,2027-01-30
90,1,4,3,No tan bueno,"El producto es correcto pero la entrega tardó.
",true,4,2023-05-31
91,3,,2,Buena calidad,Llegó a tiempo y en perfecto estado.,true,29,2025-04-02
92,19,1,5,Excelente producto,"Llegó a tiempo y en perfecto estado.
",true,5,
93,,20,1,Cumple expectativas,Excelente relación calidad-precio.,true,50,2025-06-29
94,,1,1,Excelente producto,Excelente relación calidad-precio.,true,38,2025-11-04
95,6,33,3,  Cumple expectativas  ,Llegó a tiempo y en perfecto estado.,,12,
96,12,27,1,Recomendado,El producto es correcto pero la entrega tardó.,true,,2024-02-04
97,15,,2,Recomendado,Excelente relación calidad-precio.,true,11,2023-06-17
98,,27,2,No tan bueno,Bueno pero esperaba un poco más.,true,35,2026-01-31
99,18,1,3,Recomendado,,,,
100,11,10,2,satisfecho,Cumple con lo prometido.,true,29,
70,11,21,2,Buena calidad,No cumplió mis expectativas.,true,12,2026-01-06 00:48:58
38,9,2,1,Satisfecho,Llegó a tiempo y en perfecto estado.,true,36,2025-03-10
87,,3,,  No tan bueno  ,Excelente relación calidad-precio.,true,11,
